member_id,first_name,surname,sex,email,monthly_budget,member_city
1,Ollie,Kinney,M,Ol.Kinney@walla.co.il,1000.0,Herzelia
2,Landon,Bishop,F,La.Bi@gmail.com,500.0,Herzelia
3,Jia,Delarosa,M,Jia.De@gmail.com,500.0,Herzelia
4,Valentina,Ratcliffe,F,Va.Ratcliffe@gmail.com,600.0,Herzelia
5,Stacie,Patel,F,St.Patel@hotmail.com,500.0,Ramat Hasharon
6,Fallon,Case,M,Fa.Case@walla.co.il,600.0,Ramat Hasharon
7,Asia,Tang,F,Asia.Ta@hotmail.com,500.0,Herzelia
8,Jadine,Holt,F,Ja.Holt@yahoo.com,600.0,Givatayim
9,Maison,Watt,M,Maison.Watt@gmail.com,500.0,Ramat Gan
10,Mahad,Ware,M,Ma.Ware@walla.co.il,600.0,Givatayim
11,Louisa,Grant,F,Lo.Gr@gmail.com,600.0,Ramat Gan
12,Glyn,Cooper,M,Gl.Co@hotmail.com,500.0,Ramat Hasharon
13,Jed,Fuentes,M,Je.Fu@hotmail.com,1000.0,Givatayim
14,Clarke,Ponce,M,Clarke.Ponce@walla.co.il,600.0,Ramat Gan
15,Krystal,Bridges,F,Krystal.Bridges@hotmail.com,500.0,Herzelia
16,Sonia,Rosales,F,So.Ro@yahoo.com,500.0,Givatayim
17,Ellis,Coates,F,El.Co@gmail.com,500.0,Ramat Hasharon
18,Rohan,Farrell,F,Ro.Fa@yahoo.com,800.0,Ramat Hasharon
19,Nico,Hastings,M,Ni.Hastings@walla.co.il,1000.0,Givatayim
20,Adelina,Ashley,F,Ad.As@hotmail.com,800.0,Herzelia
21,Marlon,Day,M,Marlon.Day@gmail.com,600.0,Tel Aviv
22,Mikaela,Croft,F,Mi.Croft@gmail.com,1000.0,Givatayim
23,Isla-Rose,Heaton,F,Isla-Rose.He@gmail.com,800.0,Ramat Hasharon
24,Amy-Louise,Mayo,F,Am.Mayo@gmail.com,500.0,Herzelia
25,Safwan,Flowers,M,Sa.Flowers@hotmail.com,600.0,Tel Aviv
26,Estelle,Doherty,F,Estelle.Do@hotmail.com,1000.0,Herzelia
27,Seth,Calvert,M,Se.Ca@walla.co.il,1000.0,Ramat Hasharon
28,Cassidy,Villa,F,Cassidy.Villa@walla.co.il,600.0,Tel Aviv
29,Madison,Sanchez,F,Madison.Sanchez@hotmail.com,800.0,Ramat Hasharon
30,Anisah,Downs,F,An.Do@yahoo.com,1000.0,Ramat Hasharon
