id,first_name,surname,sex,email,city_id,monthly_budget
1,Ollie,Kinney,M,Ol.Kinney@walla.co.il,4,1000.0
2,Landon,Bishop,F,La.Bi@gmail.com,4,500.0
3,Jia,Delarosa,M,Jia.De@gmail.com,4,500.0
4,Valentina,Ratcliffe,F,Va.Ratcliffe@gmail.com,4,600.0
5,Stacie,Patel,F,St.Patel@hotmail.com,3,500.0
6,Fallon,Case,M,Fa.Case@walla.co.il,3,600.0
7,Asia,Tang,F,Asia.Ta@hotmail.com,4,500.0
8,Jadine,Holt,F,Ja.Holt@yahoo.com,5,600.0
9,Maison,Watt,M,Maison.Watt@gmail.com,2,500.0
10,Mahad,Ware,M,Ma.Ware@walla.co.il,5,600.0
11,Louisa,Grant,F,Lo.Gr@gmail.com,2,600.0
12,Glyn,Cooper,M,Gl.Co@hotmail.com,3,500.0
13,Jed,Fuentes,M,Je.Fu@hotmail.com,5,1000.0
14,Clarke,Ponce,M,Clarke.Ponce@walla.co.il,2,600.0
15,Krystal,Bridges,F,Krystal.Bridges@hotmail.com,4,500.0
16,Sonia,Rosales,F,So.Ro@yahoo.com,5,500.0
17,Ellis,Coates,F,El.Co@gmail.com,3,500.0
18,Rohan,Farrell,F,Ro.Fa@yahoo.com,3,800.0
19,Nico,Hastings,M,Ni.Hastings@walla.co.il,5,1000.0
20,Adelina,Ashley,F,Ad.As@hotmail.com,4,800.0
21,Marlon,Day,M,Marlon.Day@gmail.com,1,600.0
22,Mikaela,Croft,F,Mi.Croft@gmail.com,5,1000.0
23,Isla-Rose,Heaton,F,Isla-Rose.He@gmail.com,3,800.0
24,Amy-Louise,Mayo,F,Am.Mayo@gmail.com,4,500.0
25,Safwan,Flowers,M,Sa.Flowers@hotmail.com,1,600.0
26,Estelle,Doherty,F,Estelle.Do@hotmail.com,4,1000.0
27,Seth,Calvert,M,Se.Ca@walla.co.il,3,1000.0
28,Cassidy,Villa,F,Cassidy.Villa@walla.co.il,1,600.0
29,Madison,Sanchez,F,Madison.Sanchez@hotmail.com,3,800.0
30,Anisah,Downs,F,An.Do@yahoo.com,3,1000.0
31,Kaisha,Watkins,F,Kaisha.Watkins@walla.co.il,2,1000.0
32,Fox,Hunt,M,Fox.Hu@walla.co.il,4,500.0
33,Elspeth,Zuniga,F,El.Zu@gmail.com,3,500.0
34,Leoni,Lindsay,F,Leoni.Lindsay@yahoo.com,2,800.0
