member_id,first_name,surname,sex,email,city,year,month,order_count,meals_count,monthly_budget,total_expense,balance,commission
47,Joyce,Newton,F,Joyce.Ne@gmail.com,Herzelia,2020,1,17,37,1836.15,500.0,-1336.15,136.27949999999998
126,Macey,Almond,M,Macey.Almond@yahoo.com,Tel Aviv,2020,1,30,64,2676.980000000001,1000.0,-1676.980000000001,214.98500000000004
68,Aydin,Hirst,M,Aydin.Hirst@hotmail.com,Tel Aviv,2020,1,24,52,2286.5299999999997,1000.0,-1286.5299999999997,164.93849999999998
193,Mira,Kent,M,Mi.Kent@walla.co.il,Tel Aviv,2020,1,24,54,2547.62,500.0,-2047.62,193.59124999999997
53,Lilly-Ann,Frey,F,Li.Fr@hotmail.com,Tel Aviv,2020,1,23,50,2456.64,1000.0,-1456.6399999999999,193.97650000000002
115,Rami,Sexton,M,Rami.Sexton@hotmail.com,Ramat Gan,2020,1,25,62,2760.2300000000005,600.0,-2160.2300000000005,211.09775
192,Amrit,Haworth,M,Am.Ha@hotmail.com,Givatayim,2020,1,21,46,2044.0199999999995,1000.0,-1044.0199999999995,151.01574999999997
19,Nico,Hastings,M,Ni.Hastings@walla.co.il,Givatayim,2020,1,20,36,1747.4299999999998,1000.0,-747.4299999999998,128.37675
176,Amman,Zavala,F,Am.Zavala@gmail.com,Givatayim,2020,1,21,51,2225.54,600.0,-1625.54,159.10449999999997
130,Haleemah,Davidson,F,Haleemah.Da@yahoo.com,Tel Aviv,2020,1,20,52,2503.43,1000.0,-1503.4299999999998,203.56175
195,Samuel,Huerta,M,Sa.Huerta@gmail.com,Ramat Gan,2020,1,25,56,2592.77,800.0,-1792.77,181.01849999999996
191,Kara,Thompson,F,Kara.Thompson@gmail.com,Ramat Gan,2020,1,29,65,2873.94,800.0,-2073.94,195.24599999999992
84,Simone,Morse,F,Si.Mo@hotmail.com,Givatayim,2020,1,22,38,1766.1699999999994,500.0,-1266.1699999999994,142.14775000000006
77,Claude,Patel,M,Cl.Pa@yahoo.com,Tel Aviv,2020,1,22,50,2285.7599999999993,600.0,-1685.7599999999993,151.21525000000005
133,Liyana,Stanton,F,Li.Stanton@hotmail.com,Ramat Gan,2020,1,29,66,2821.919999999999,800.0,-2021.9199999999992,218.12149999999997
67,Campbell,Alvarez,M,Campbell.Alvarez@hotmail.com,Givatayim,2020,1,27,63,2962.03,600.0,-2362.03,243.30599999999998
2,Landon,Bishop,F,La.Bi@gmail.com,Herzelia,2020,1,25,65,3017.9500000000007,500.0,-2517.9500000000007,223.85525
69,Griff,Blackwell,M,Griff.Blackwell@walla.co.il,Ramat Hasharon,2020,1,31,68,3308.4599999999996,1000.0,-2308.4599999999996,267.27475000000004
82,Misha,Ashley,M,Mi.As@hotmail.com,Ramat Hasharon,2020,1,27,63,2714.7500000000005,1000.0,-1714.7500000000005,217.10174999999995
174,Freyja,Molina,F,Fr.Mo@hotmail.com,Tel Aviv,2020,1,27,79,3536.9400000000005,600.0,-2936.9400000000005,265.70200000000006
177,Sydney,Wells,F,Sy.Wells@yahoo.com,Tel Aviv,2020,1,25,58,2497.4499999999994,500.0,-1997.4499999999994,178.7695
7,Asia,Tang,F,Asia.Ta@hotmail.com,Herzelia,2020,1,25,63,2981.5199999999986,500.0,-2481.5199999999986,225.73299999999998
58,Colleen,Steele,F,Co.St@hotmail.com,Tel Aviv,2020,1,27,64,2980.8799999999997,800.0,-2180.8799999999997,213.50349999999995
132,Yousuf,Banks,M,Yousuf.Ba@hotmail.com,Ramat Gan,2020,1,28,67,3104.14,800.0,-2304.14,240.02900000000002
162,Christos,Rodriquez,M,Ch.Ro@yahoo.com,Ramat Hasharon,2020,1,18,45,2190.6400000000003,800.0,-1390.6400000000003,168.08374999999992
128,Parker,Drake,M,Parker.Dr@walla.co.il,Ramat Hasharon,2020,1,22,51,2183.2500000000005,800.0,-1383.2500000000005,175.4022500000001
59,Jaydon,Trujillo,M,Jaydon.Tr@walla.co.il,Tel Aviv,2020,1,30,66,2942.330000000001,1000.0,-1942.3300000000008,208.9502499999999
22,Mikaela,Croft,F,Mi.Croft@gmail.com,Givatayim,2020,1,30,78,3533.5299999999993,1000.0,-2533.5299999999993,266.90575
198,Drew,Begum,M,Drew.Begum@gmail.com,Ramat Hasharon,2020,1,21,56,2726.779999999999,800.0,-1926.7799999999988,200.78099999999995
